,specie link,name,synonyms,genera,genera link,spores 1d lower,spores 2d lower,pileus width lower,stipes long lower,stipes thick lower,spores 1d upper,spores 2d upper,pileus width upper,stipes long upper,stipes thick upper
28,https://www.mykoweb.com/CAF/species/Amanita_calyptroderma.html,Amanita calyptroderma,"['Amanita calyptrata', 'Amanita lanei']",Amanita  ,https://www.mykoweb.com/CAF/genera/Amanita.html,0.08,0.05,800.0,1000.0,150.0,0.11,0.06,2500.0,2000.0,400.0
29,http://www.amanitaceae.org/?Amanita+calyptratoides,Amanita calyptratoides,[],Amanita  ,https://www.mykoweb.com/CAF/genera/Amanita.html,0.098,0.065,300.0,500.0,60.0,0.14,0.08900000000000001,1000.0,1450.0,200.0
30,https://www.mykoweb.com/CAF/species/Amanita_constricta.html,Amanita constricta,[],Amanita  ,https://www.mykoweb.com/CAF/genera/Amanita.html,0.095,0.115,600.0,900.0,100.0,0.095,0.115,1200.0,1700.0,200.0
31,http://www.mushroomexpert.com/amanita_gemmata.html,Amanita gemmata,[],Amanita  ,https://www.mykoweb.com/CAF/genera/Amanita.html,0.08,0.065,300.0,400.0,100.0,0.13,0.09,1100.0,1400.0,200.0
32,https://www.mykoweb.com/CAF/species/Amanita_muscaria.html,Amanita muscaria,"['Amanita muscaria', 'flavivolvata']",Amanita  ,https://www.mykoweb.com/CAF/genera/Amanita.html,0.09,0.065,600.0,700.0,200.0,0.13,0.095,3900.0,1600.0,300.0
33,https://www.mykoweb.com/CAF/species/Amanita_novinupta.html,Amanita novinupta,['Amanita rubescens'],Amanita  ,https://www.mykoweb.com/CAF/genera/Amanita.html,0.07,0.055,500.0,600.0,150.0,0.085,0.06,1400.0,1200.0,350.0
34,https://www.mykoweb.com/CAF/species/Amanita_ocreata.html,Amanita ocreata,['Amanita bivolvata'],Amanita  ,https://www.mykoweb.com/CAF/genera/Amanita.html,0.09,0.07,500.0,1000.0,150.0,0.125,0.09,1300.0,2200.0,300.0
35,https://www.mykoweb.com/CAF/species/Amanita_pachycolea.html,Amanita pachycolea,[],Amanita  ,https://www.mykoweb.com/CAF/genera/Amanita.html,0.115,0.1,800.0,1000.0,100.0,0.14,0.12,1800.0,2500.0,300.0
36,https://www.mykoweb.com/CAF/species/Amanita_pantherina.html,Amanita pantherina,[],Amanita  ,https://www.mykoweb.com/CAF/genera/Amanita.html,0.095,0.07,400.0,700.0,100.0,0.13,0.095,1500.0,1100.0,250.0
37,https://www.mykoweb.com/CAF/species/Amanita_phalloides.html,Amanita phalloides,[],Amanita  ,https://www.mykoweb.com/CAF/genera/Amanita.html,0.07,0.06,350.0,400.0,100.0,0.12,0.1,1500.0,1800.0,300.0
38,https://www.mykoweb.com/CAF/species/Amanita_smithiana.html,Amanita smithiana,[],Amanita  ,https://www.mykoweb.com/CAF/genera/Amanita.html,0.105,0.065,700.0,700.0,200.0,0.12,0.09,1400.0,1700.0,400.0
39,https://www.mykoweb.com/CAF/species/Amanita_vaginata.html,Amanita vaginata,[],Amanita  ,https://www.mykoweb.com/CAF/genera/Amanita.html,0.08,0.075,550.0,600.0,120.0,0.115,0.1,1000.0,1300.0,200.0
40,https://www.mykoweb.com/CAF/species/Amanita_velosa.html,Amanita velosa,['Amanitopsis velosa'],Amanita  ,https://www.mykoweb.com/CAF/genera/Amanita.html,0.085,0.07,500.0,400.0,100.0,0.12,0.11,1100.0,1100.0,250.0
